,rate,votes,approx_cost(for two people),clusters
0,4.1,775,800,1
1,4.1,787,800,1
2,3.8,918,800,1
3,3.7,88,300,1
4,3.8,166,600,1
5,3.8,286,600,1
6,4.6,2556,600,3
7,4.0,324,700,1
8,4.2,504,550,1
9,4.1,402,500,1
10,4.2,150,600,1
11,4.2,164,500,1
12,4.0,424,450,1
13,3.8,918,800,1
14,3.8,90,650,1
15,3.9,133,800,1
16,3.8,144,700,1
17,3.9,93,300,1
18,3.0,62,400,1
19,3.7,180,500,1
20,3.6,62,600,1
21,3.8,148,550,1
22,4.0,219,600,1
23,2.8,506,500,1
24,3.9,172,750,1
25,4.2,415,500,1
26,3.9,230,650,1
27,4.2,1647,600,3
28,4.4,4884,750,3
29,3.8,133,200,1
30,3.9,286,500,1
31,3.9,540,800,1
32,4.6,2556,600,3
33,3.8,36,400,1
34,3.6,244,300,1
35,4.0,804,450,1
36,3.7,679,850,1
37,3.1,245,300,1
38,4.3,345,400,1
39,4.0,618,750,1
40,4.0,1047,450,1
41,3.9,627,450,1
42,4.2,354,800,1
43,4.2,244,800,1
44,3.6,163,800,1
45,4.0,808,850,1
46,4.1,1720,400,3
47,4.1,868,1200,0
48,4.1,520,300,1
49,3.6,299,300,1
50,4.1,558,150,1
51,3.8,39,350,1
52,4.2,146,400,1
53,4.4,4401,600,3
54,2.6,283,600,1
55,3.3,62,800,1
56,3.7,65,300,1
57,3.8,71,400,1
58,3.5,52,300,1
59,3.7,130,200,1
60,3.8,45,400,1
61,4.1,201,300,1
62,4.0,771,450,1
63,3.0,98,800,1
64,4.1,175,500,1
65,3.8,540,650,1
66,3.8,124,400,1
67,4.1,340,500,1
68,3.8,505,450,1
69,4.1,438,500,1
70,3.7,264,750,1
71,3.7,97,350,1
72,3.6,195,800,1
73,4.6,228,400,1
74,4.1,364,1200,0
75,3.7,107,150,1
76,3.2,167,300,1
77,4.2,64,500,1
78,3.0,290,450,1
79,4.1,233,200,1
80,3.8,115,250,1
81,3.9,291,650,1
82,4.5,155,300,1
83,4.1,305,700,1
84,3.9,38,150,1
85,3.9,441,400,1
86,4.3,630,200,1
87,3.9,160,300,1
88,4.2,287,350,1
89,4.1,402,500,1
90,3.8,469,750,1
91,3.3,511,550,1
92,3.9,264,200,1
93,3.0,62,400,1
94,3.8,693,750,1
95,3.8,242,650,1
96,4.1,163,500,1
97,4.2,191,250,1
98,3.5,32,150,1
99,2.5,247,500,1
100,4.1,2339,1500,3
101,4.1,337,300,1
102,3.9,135,800,1
103,3.6,172,700,1
104,3.6,105,700,1
105,4.2,504,550,1
106,4.3,1129,1300,0
107,4.3,860,500,1
108,3.8,412,700,1
109,3.9,142,1000,1
110,3.6,143,750,1
111,4.4,181,250,1
112,3.8,70,200,1
113,3.8,164,600,1
114,3.6,58,650,1
115,3.8,148,550,1
116,3.9,206,450,1
